Number,Journal tittle ,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online
435,SINET: Ethiopian Journal of Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
436,Zede Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
437,African Journal of Current Medical Research,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
438,African Journal of Educational Studies in Mathematics and Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
439,African Journal of Management Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
440,Agricultural and Food Science Journal of Ghana,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
441,Contemporary Journal of African Studies,African Journal Online (AJOL),1,1,1,1,0,0,1,0,0,1
442,Ghana Dental Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
443,Ghana Journal of Agricultural Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
444,Ghana Journal of Development Studies,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1
445,Ghana Journal of Forestry,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
446,Ghana Journal of Geography,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
447,Ghana Journal of Linguistics,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
448,Ghana Journal of Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
449,Ghana Library Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
450,Ghana Medical Journal,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1
451,Ghana Mining Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
452,"International Journal of Pedagogy, Policy and ICT in Education",African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
453,Journal of Applied Science and Tech0logy,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
454,Journal of Business Research,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
455,Journal of Medical and Biomedical Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
456,Journal of Philosophy and Culture,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
457,Journal of Science and Tech0logy (Ghana),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
458,Journal of the Ghana Institution of Engineers,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
459,Journal of the Ghana Science Association,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1
460,Legon Journal of the Humanities,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
461,Mathematics Connection,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
462,Regional Maritime University Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
